query_id,method,hypothesis_rank,path_length,jaccard_vs_others,papers_per_edge,symbolic_path,hypothesis_content,symbolic_path_length,grounded_realized_path_length,dropped_nodes,failure_mode
ML-1,full,1,0,0.2,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,The system identified complex graph structures but failed to ground them in specific papers.,5,0,5,Collapse
ML-1,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
ML-1,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
ML-1,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
ML-2,full,1,0,0.2,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,The system identified complex graph structures but failed to ground them in specific papers.,5,0,5,Collapse
ML-2,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
ML-2,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
ML-2,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
ML-3,full,1,0,0.2,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,The system identified complex graph structures but failed to ground them in specific papers.,5,0,5,Collapse
ML-3,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
ML-3,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
ML-3,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
ML-4,full,1,0,0.2,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,The system identified complex graph structures but failed to ground them in specific papers.,5,0,5,Collapse
ML-4,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
ML-4,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
ML-4,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
ML-5,full,1,0,0.2,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,The system identified complex graph structures but failed to ground them in specific papers.,5,0,5,Collapse
ML-5,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
ML-5,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
ML-5,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
BIO-1,full,1,4,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"The pathway involves Node_A -> Node_B -> Node_C, likely affecting Node_E.",5,4,1,Truncation
